,Unnamed: 0,internalTaxonId,scientificName,commonName,threat,iucn_id,iucn_status,habitat
41,41,40544,Sminthopsis hirtipes,Hairy-footed Dunnart,[],21948399,Least Concern,"['Shrubland - Subtropical/Tropical Dry', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Forest - Subtropical/Tropical Dry', 'Savanna - Dry', 'Grassland - Subtropical/Tropical Dry']"
42,42,41509,Sminthopsis granulipes,White-tailed Dunnart,[],21948474,Least Concern,['Shrubland - Mediterranean-type Shrubby Vegetation']
43,43,40541,Sminthopsis crassicaudata,Fat-tailed Dunnart,[],21948539,Least Concern,"['Artificial/Terrestrial - Arable Land', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Artificial/Terrestrial - Pastureland', 'Grassland - Subtropical/Tropical Dry', 'Savanna - Dry', 'Desert - Hot', 'Shrubland - Subtropical/Tropical Dry']"
44,44,41510,Sminthopsis griseoventer,Grey-bellied Dunnart,[],21948615,Least Concern,"['Shrubland - Mediterranean-type Shrubby Vegetation', 'Shrubland - Temperate', 'Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Forest - Temperate']"
45,45,40542,Sminthopsis dolichura,Little Long-tailed Dunnart,[],21948697,Least Concern,"['Shrubland - Mediterranean-type Shrubby Vegetation', 'Shrubland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Dry', 'Forest - Subtropical/Tropical Dry', 'Savanna - Dry']"
46,46,40550,Sminthopsis youngsoni,Lesser Hairy-footed Dunnart,[],21948853,Least Concern,"['Shrubland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Dry', 'Desert - Hot']"
47,47,40551,Sminthopsis bindi,Kakadu Dunnart,"['Named species', 'Increase in fire frequency/intensity']",21948917,Near Threatened,"['Savanna - Dry', 'Grassland - Subtropical/Tropical Dry', 'Forest - Subtropical/Tropical Dry']"
48,48,40545,Sminthopsis longicaudata,Long-tailed Dunnart,[],21948982,Least Concern,"['Grassland - Subtropical/Tropical Dry', 'Rocky areas (eg. inland cliffs, mountain peaks)', 'Shrubland - Subtropical/Tropical Dry']"
49,49,40546,Sminthopsis macroura,Stripe-faced Dunnart,[],21949068,Least Concern,"['Shrubland - Subtropical/Tropical Dry', 'Desert - Hot', 'Savanna - Dry', 'Grassland - Subtropical/Tropical Dry']"
50,50,40547,Sminthopsis murina,Common Dunnart,[],21949138,Least Concern,"['Forest - Subtropical/Tropical Moist Lowland', 'Savanna - Dry', 'Forest - Subtropical/Tropical Dry', 'Forest - Temperate', 'Shrubland - Temperate', 'Shrubland - Subtropical/Tropical Dry']"
51,51,40548,Sminthopsis ooldea,Ooldea Dunnart,[],21949221,Least Concern,"['Desert - Hot', 'Savanna - Dry', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Shrubland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Dry']"
52,52,21866,Thylacinus cynocephalus,Thylacine,[],21949291,Extinct,"['Forest - Temperate', 'Grassland - Temperate', 'Forest - Subtropical/Tropical Moist Lowland']"
53,53,14222,Myrmecobius fasciatus,Numbat,"['Increase in fire frequency/intensity', 'Named species', 'Named species']",21949380,Endangered,"['Forest - Subtropical/Tropical Dry', 'Savanna - Dry', 'Shrubland - Temperate', 'Desert - Temperate']"
54,54,23091,Wyulda squamicaudata,Scaly-tailed Possum,"['Increase in fire frequency/intensity', 'Named species']",21950421,Near Threatened,"['Forest - Subtropical/Tropical Dry', 'Rocky areas (eg. inland cliffs, mountain peaks)', 'Savanna - Dry']"
55,55,40557,Trichosurus caninus,Short-eared Brush-tailed Possum,[],21951945,Least Concern,"['Forest - Subtropical/Tropical Dry', 'Forest - Temperate', 'Artificial/Terrestrial - Plantations']"
56,56,136256,Trichosurus cunninghami,Mountain Brushtail Possum,[],21952015,Least Concern,"['Forest - Temperate', 'Artificial/Terrestrial - Plantations']"
57,57,40585,Trichosurus vulpecula,Common Brushtail Possum,[],21952080,Least Concern,"['Artificial/Terrestrial - Plantations', 'Forest - Temperate', 'Artificial/Terrestrial - Rural Gardens', 'Savanna - Dry', 'Forest - Subtropical/Tropical Dry', 'Artificial/Terrestrial - Urban Areas']"
58,58,40575,Wallabia bicolor,Swamp Wallaby,[],21952658,Least Concern,"['Artificial/Terrestrial - Plantations', 'Forest - Temperate', 'Shrubland - Temperate', 'Shrubland - Subtropical/Tropical Moist', 'Forest - Subtropical/Tropical Dry', 'Shrubland - Subtropical/Tropical Dry', 'Artificial/Terrestrial - Pastureland', 'Forest - Subtropical/Tropical Moist Lowland', 'Artificial/Terrestrial - Arable Land', 'Shrubland - Mediterranean-type Shrubby Vegetation']"
59,59,41513,Macropus giganteus,Eastern Grey Kangaroo,[],21952954,Least Concern,"['Artificial/Terrestrial - Pastureland', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Shrubland - Temperate', 'Shrubland - Subtropical/Tropical Dry', 'Savanna - Dry', 'Grassland - Temperate', 'Forest - Subtropical/Tropical Dry', 'Forest - Temperate', 'Grassland - Subtropical/Tropical Dry']"
60,60,12627,Notamacropus parma,Parma Wallaby,"['Motivation Unknown/Unrecorded', 'Trend Unknown/Unrecorded', 'Scale Unknown/Unrecorded', 'Named species']",21953067,Near Threatened,['Forest - Temperate']
61,61,12626,Notamacropus irma,Western Brush Wallaby,"['Roads & railroads', 'Trend Unknown/Unrecorded', 'Named species']",21953231,Least Concern,"['Shrubland - Mediterranean-type Shrubby Vegetation', 'Savanna - Dry', 'Shrubland - Subtropical/Tropical Dry', 'Forest - Temperate']"
62,62,40566,Notamacropus rufogriseus,Red-necked Wallaby,[],21953329,Least Concern,"['Artificial/Terrestrial - Arable Land', 'Forest - Temperate', 'Artificial/Terrestrial - Pastureland', 'Grassland - Subtropical/Tropical Dry', 'Shrubland - Temperate', 'Grassland - Temperate', 'Forest - Subtropical/Tropical Dry', 'Shrubland - Subtropical/Tropical Dry']"
