,Unnamed: 0,internalTaxonId,scientificName,commonName,threat,iucn_id,iucn_status,habitat
121,121,40576,Cercartetus concinnus,Western Pygmy-possum,[],21963278,Least Concern,"['Shrubland - Mediterranean-type Shrubby Vegetation', 'Forest - Subtropical/Tropical Dry']"
122,122,40577,Cercartetus lepidus,Little Pygmy-possum,[],21963428,Least Concern,"['Shrubland - Temperate', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Forest - Temperate']"
123,123,40578,Cercartetus nanus,Eastern Pygmy-possum,[],21963504,Least Concern,"['Forest - Temperate', 'Shrubland - Temperate']"
124,124,40559,Hypsiprymnodon moschatus,Musky Rat-kangaroo,[],21963734,Least Concern,"['Forest - Subtropical/Tropical Moist Montane', 'Forest - Subtropical/Tropical Moist Lowland']"
125,125,40584,Acrobates pygmaeus,Feathertail Glider,[],21963834,Least Concern,"['Forest - Subtropical/Tropical Moist Lowland', 'Forest - Temperate', 'Artificial/Terrestrial - Urban Areas']"
126,126,14878,Notoryctes caurinus,Western Marsupial Mole,"['Increase in fire frequency/intensity', 'Named species']",21964848,Least Concern,"['Desert - Hot', 'Shrubland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Dry']"
127,127,14879,Notoryctes typhlops,Central Marsupial Mole,"['Unspecified species', 'Temperature extremes', 'Trend Unknown/Unrecorded', 'Droughts', 'Scale Unknown/Unrecorded', 'Named species']",21965004,Least Concern,"['Desert - Hot', 'Shrubland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Dry']"
128,128,4322,Chaeropus ecaudatus,Pig-footed Bandicoot,[],21965168,Extinct,"['Shrubland - Mediterranean-type Shrubby Vegetation', 'Shrubland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Dry', 'Forest - Subtropical/Tropical Dry', 'Savanna - Dry']"
129,129,16569,Perameles bougainville,Western Barred Bandicoot,[],21965819,Vulnerable,"['Grassland - Subtropical/Tropical Dry', 'Shrubland - Subtropical/Tropical Dry', 'Shrubland - Temperate', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Grassland - Temperate']"
130,130,16570,Perameles eremiana,Desert Bandicoot,[],21965953,Extinct,"['Shrubland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Dry', 'Desert - Hot', 'Grassland - Temperate', 'Desert - Temperate']"
131,131,16572,Perameles gunnii,Eastern Barred Bandicoot,"['Named species', 'Unspecified species']",21966027,Vulnerable,"['Artificial/Terrestrial - Pastureland', 'Grassland - Temperate']"
132,132,12650,Macrotis lagotis,Bilby,"['Agro-industry grazing, ranching or farming', 'Named species']",21967189,Vulnerable,"['Grassland - Subtropical/Tropical Dry', 'Savanna - Dry']"
133,133,12651,Macrotis leucura,Lesser Bilby,[],21967376,Extinct,"['Shrubland - Subtropical/Tropical Dry', 'Savanna - Dry', 'Grassland - Subtropical/Tropical Dry']"
134,134,71510353,Bettongia anhydra,Desert Bettong,[],71510399,Extinct,['Unknown']
135,135,2787,Bettongia tropica,Northern Bettong,"['Agro-industry grazing, ranching or farming', 'Named species', 'Increase in fire frequency/intensity', 'Agro-industry plantations']",115063540,Endangered,"['Forest - Subtropical/Tropical Dry', 'Forest - Subtropical/Tropical Moist Montane']"
136,136,10863,Isoodon auratus,Golden Bandicoot,"['Trend Unknown/Unrecorded', 'Named species', 'Increase in fire frequency/intensity']",115100163,Vulnerable,"['Savanna - Dry', 'Shrubland - Subtropical/Tropical Moist', 'Savanna - Moist', 'Shrubland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Dry']"
137,137,40553,Isoodon obesulus,Southern Brown Bandicoot,"['Increase in fire frequency/intensity', 'Scale Unknown/Unrecorded', 'Agro-industry farming', 'Named species', 'Scale Unknown/Unrecorded', 'Agro-industry grazing, ranching or farming']",115173603,Least Concern,"['Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Forest - Temperate', 'Shrubland - Subtropical/Tropical Dry', 'Grassland - Temperate', 'Grassland - Subtropical/Tropical Dry', 'Shrubland - Temperate', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Artificial/Terrestrial - Rural Gardens']"
138,138,40554,Perameles nasuta,Long-nosed Bandicoot,[],115173969,Least Concern,"['Grassland - Temperate', 'Grassland - Subtropical/Tropical Dry', 'Shrubland - Subtropical/Tropical Dry', 'Forest - Subtropical/Tropical Dry', 'Forest - Subtropical/Tropical Moist Lowland', 'Forest - Temperate', 'Shrubland - Temperate', 'Artificial/Terrestrial - Urban Areas', 'Artificial/Terrestrial - Rural Gardens']"
139,139,12625,Notamacropus greyi,Toolache Wallaby,[],128952836,Extinct,"['Grassland - Temperate', 'Savanna - Moist']"
140,140,16890,Phascogale tapoatafa,Brush-tailed Phascogale,"['Scale Unknown/Unrecorded', 'Scale Unknown/Unrecorded', 'Named species', 'Increase in fire frequency/intensity', 'Unintentional effects: (large scale) [harvest]']",166495589,Near Threatened,"['Forest - Subtropical/Tropical Dry', 'Forest - Temperate', 'Savanna - Moist', 'Savanna - Dry']"
141,141,20297,Sminthopsis leucopus,White-footed Dunnart,"['Trend Unknown/Unrecorded', 'Housing & urban areas', 'Agro-industry farming', 'Unintentional effects: (large scale) [harvest]']",166496257,Least Concern,"['Forest - Subtropical/Tropical Moist Lowland', 'Forest - Temperate', 'Grassland - Temperate', 'Shrubland - Temperate', 'Savanna - Moist', 'Forest - Subtropical/Tropical Moist Montane', 'Grassland - Subtropical/Tropical Seasonally Wet/Flooded']"
142,142,16892,Phascolarctos cinereus,Koala,"['Increase in fire frequency/intensity', 'Roads & railroads', 'Housing & urban areas', 'Temperature extremes', 'Named species', 'Droughts', 'Unspecified species', 'Unintentional effects: (large scale) [harvest]']",166496779,Vulnerable,"['Forest - Subtropical/Tropical Dry', 'Forest - Temperate', 'Savanna - Dry']"
143,143,18102,Potorous longipes,Long-footed Potoroo,"['Named species', 'Trend Unknown/Unrecorded', 'Unintentional effects: (large scale) [harvest]']",166498043,Vulnerable,"['Forest - Temperate', 'Shrubland - Temperate']"
144,144,41511,Potorous tridactylus,Long-nosed Potoroo,"['Increase in fire frequency/intensity', 'Named species', 'Housing & urban areas', 'Unintentional effects: (large scale) [harvest]']",166499137,Near Threatened,"['Forest - Temperate', 'Shrubland - Temperate']"
145,145,40579,Petauroides volans,Southern Greater Glider,"['Increase in fire frequency/intensity', 'Housing & urban areas', 'Other impacts', 'Unintentional effects: (subsistence/small scale) [harvest]']",166500472,Vulnerable,"['Forest - Subtropical/Tropical Dry', 'Forest - Temperate']"
146,146,20165,Setonix brachyurus,Quokka,"['Named species', 'Droughts', 'Increase in fire frequency/intensity', 'Unintentional effects: (large scale) [harvest]']",166611530,Vulnerable,"['Forest - Temperate', 'Wetlands (inland) - Shrub Dominated Wetlands', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Shrubland - Temperate']"
